Item,Test code,Trade name,Generic name,Drug form,Dasage,Batch numbers,Exp.Date,Manufacturer,Country,Content/value deviation, API test result,Accepted range,Test result 0=Substadard 1=Meet standard 
133,ICARS:24.08.19.160,AZITROMICIN,Azithromycin,Tables,500mg,240038002,03.2027,PF3,Laos,0.7099 g        (-1.4 ; 1.1),99.7%,90.0 - 110.0%,1
134,ICARS:24.08.19.161,KLORAMPHENICOL,Chloramphenicol,Capsules,250mg,313310,3/9/2026,Coduphar,Laos,0.3941 g        (-5.9; 5.3),99.6%,90.0 - 110.0%,1
135,ICARS:24.08.19.162,METRODYL500,Metronidazole,Taples,500mg,2401020,140123,PDC2,Laos,0.6277 g        (-3.9 ; 4.7),100.1%,90.0 - 110.0%,1
136,ICARS:24.08.19.163,METRONIDAZOL,Metronidazole,Tables,250mg,010123,07.2025,CBF,Laos,0.4547g        (-3.0 ; 4.0),104.2%,90.0 - 110.0%,1
137,ICARS:24.08.19.164,METROZOL,Metronidazole,Tables,500mg,030524,05.2027,CBF,Laos,0.5709 g       (-2.7 ; 4.7),104.8%,93.0 - 107.0%,1
138,ICARS:24.08.19.165,ERY 500,Erythromycin,Tables,500mg,020524,11.2026,CBF,Laos,0.6138g        (-3.4 ; 1.7),97.0%,90.0 - 120.0%,1
139,ICARS:24.08.19.166,DI -ERY 500,Erythromycin,Tables,500mg,001,06.2026,PF3,Laos,0.6849g        (-2.5 ; 2.1),93.0%,90.0 - 120.0%,1
140,ICARS:24.08.19.167,DOXYCYCLINE,Doxycycline,Capsules,100mg,312206,09.2026,Coduphar,Laos,2472g        (-5.9 ; 5.7),104.6%,90.0 - 120.0%,1
141,ICARS:24.08.19.168,DOXY 100,Doxycycline,Capsules,100mg,2305037,250526,PDC2,Laos,0.1873 g        (-4.8; 6.6),103.0%,90.0 - 120.0%,1
142,ICARS:24.08.19.169,PENICILLIN  V,Penicillin,Tables,400.000,301105,10.2025,Coduphar,Laos,0.3891 g        (-1.9 ; 2.6),100.0%,90.0 - 120.0%,1
143,ICARS:24.08.19.170,METROZOL,Metronidazole,Tables,500mg,030524,052027,CBF,Laos,0.5681g        (-2.2 ; 3.0),104.1%,93.0 - 107.0%,1
144,ICARS:24.08.19.171,HYROMYCIN,Tetracycline,Capsules,250mg,63100122,181069,HERO,Thailand,0.2738g        (-2.9 ; 2.3),108.3%,90.0 - 120.0%,1
145,ICARS:24.08.19.172,AMOXYCILLINE,Amoxicillin,Capsules,500mg,2446010,03.2027,KPN,Laos,0.5680 g        (-1.8 ; 4.9),99.0%,90.0 - 110.0%,1
146,ICARS:24.08.19.173,ERY 500,Erythromycin,Tables,500mg,020524,11.2026,CBF,Laos,0.5988 g        (-1.4 ; 2.7),95.2%,90.0 - 120.0%,1
147,ICARS:24.08.19.174,KLORAMPHENICOL,Chloramphenicol,Capsules,250mg,313304,17/5/2026,Coduphar,Laos,03938 g        (-7.4 ; 7.2),99.3%,90.0 - 110.0%,1
148,ICARS:24.08.19.175,AMPICILLINE,Ampicillin,Tables,250mg,2444006,05.2027,KPN,Laos,0.3605g        (-2.3 ; 2.4),98.1%,90.0 - 110.0%,1
149,ICARS:24.08.19.176,ERYTHRO 250,Erythromycin,Tables,250mg,312708,06.2026,Coduphar,Laos,0.5035g        (-1.7 ; 0.8),95.8%,90.0 - 120.0%,1
150,ICARS:24.08.19.177,GANO SPEC500,Tetracycline,Capsules,500mg,42319,09/11/2026,PICCO,Thailand,0.5058 g        (-3.5 ; 2.4),93.8%,90.0 - 120.0%,1
151,ICARS:24.08.19.178,TC MYCIN 500,Tetracycline,Capsules,500mg,266 T,20/06/2026,VESCO,Thailand,0.5173 g        (-2.1 ; 1.8),102.5%,90.0 - 120.0%,1
152,ICARS:24.08.19.179,DOXYCAP,Doxycycline,Capsules,100mg,L209,28/04/2027,Bankok lab,Thailand,0.2232 g        (-2.5; 1.2),108.2%,90.0 - 120.0%,1
153,ICARS:24.08.19.180,T.V.MOX500,Amoxicillin,Capsules,500mg,L/C11486501,090726,T -.MAN,Thailand,0.6138g        (-2.1 ;3.4),100.6%,90.0 - 110.0%,1
154,ICARS:24.08.19.181,VEJAR .VK,Penicillin,Tablet,"400,000 IU",2205006,2025/05/04,North china,CHINA,0.2935 g        (-1.4 ; 1.1),99.4%,90.0 - 110.0%,1
155,ICARS:24.08.19.182,CEFO-L,Cefixime,Tables,200mg,40010,12.2026,Medley,India,0.4776 g        (-1.3 ; 2.1),99.9%,90.0 - 110.0%,1
156,ICARS:24.08.19.183,AZITHROMYCIN,Azithromycin,Tables,500mg,240501,4.2026,Zhangfeng,China,0.7676g        (-4.3 ; 2.1),98.6%,90.0 - 110.0%,1
157,ICARS:24.08.19.184,CEFIXIME,Cefixime,Capsules,200mg,001-310124,31/01/2027,TV.pharm,Vietnam,0.4121 g        (-1.8 ; 2.3,104.9%,90.0 -110.0%,1
158,ICARS:24.08.19.185,HEROMYCIN,Tetracycline,Capsules,250mg,63100123,261069,HERO,Thailand,0.2718g        (-1.6 ; 2.3),101.9%,90.0 - 120.0%,1
159,ICARS:24.08.19.186,AMOXYCILLINE,Amoxicillin,Capsules,500mg,2446023,04-2027,KPN,Laos,0.5836 g        (-1.4 ; 2.4),99.9%,90.0 - 110.0%,1
160,ICARS:24.08.19.187,AMPICILLINE,Ampicillin,Capsules,500mg,300540,12-2026,Coduphar,Laos,0.5972 g        (-3.3 ; 2.3),96.4%,90.0 - 110.0%,1
161,ICARS:24.08.19.188,STARMOX 500,Amoxicillin,Tables,500mg,70154,01.2027,Seven Stars,Thailand,0.8254 g        (-2.1 ;0.9),102.5%,90.0 - 110.0%,1
162,ICARS:24.08.19.189,AMOXYCYCLIN,Amoxicillin,Capsules,500mg,2445023,04.2027,KPN,Laos,0.5804 g        (-3.1 ; 3.5),99.3%,90.0 - 110.0%,1
163,ICARS:24.08.19.190,DOXYCYCLINE,Doxycycline,Capsules,100mg,312206,09.2026,Coduphar,Laos,0.2490 g        (-4.2 ; 3.5),102.3%,90.0 - 120.0%,1
164,ICARS:24.08.19.191,DI -ERY 500,Erythromycin,Capsules,500mg,001,06.2026,PF3,Laos,0.6730 g        (-1.4 ; 1.3),98.2%,90.0 - 120.0%,1
165,ICARS:24.08.19.192,HEROMYCIN,Tetracycline,Capsules,250mg,231003,11.2026,KPN,Laos,0.4307 g       (-2.1 ; 3.6),92.9%,90.0 - 120.0%,1
166,ICARS:24.08.19.193,METROZOL,Metronidazole,Tablets,500mg,020324,032027,CBF,Laos,0.5686g        (-2.8 ; 3.0),101.5%,93.0 - 107.0%,1
167,ICARS:24.08.19.194,GANOSPEC500,Tetracycline,Capsules,500mg,42317,26/10/2026,PICCO,Thailand,0.5103 g        (-2.8 ; 4.6),95.3%,90.0 - 120.0%,1
168,ICARS:24.09.03.195,DOXYCYCLINE,Doxycycline,Capsul,100 mg,312201,01/2026,Codupha-lao,Laos,0.2665 g        (-3.4 ; 3.6),106.8%,90.0 - 120.0%,1
169,ICARS:24.09.03.196,METROZOL 500,Metronidazole,Tablet,500mg,030524,05/2027,CBF,Laos,0.5696g        (-1.3; +2.8),100.0%,93.0 - 107.0%,1
170,ICARS:24.09.03.197,ERYTHRO-250,Erythromycin,Tablet,250mg,312706,10/2026,Codupha-lao,Laos,0.5025 g        (-3.1 ; 2.8),99.7%,90.0 - 120.0%,1
171,ICARS:24.09.03.198,PENICILLIN V,Penicillin,Tablet,"400,000 IU",301103,09/2025,Codupha-lao,Laos,0.3885g        (-3.3 ; 1.7),102.4%,90.0 - 120.0%,1
172,ICARS:24.09.03.199,Erythromycin,Erythromycin,Tablet,500mg,3540424,04/2027,KHAPHARCO PHARMA,Vietnam,0.8879 g        (-0.8 ; 0.9),103.7%,90.0 - 120.0%,1
173,ICARS:24.09.03.200,AMPICILLIN,Ampicillin,Capsul,500mg,300404,11/2026,Codupha-lao,Laos,0.5530 g        (-1.3 ; 1.0),96.7%,90.0 - 110.0%,1
174,ICARS:24.09.03.201,AMOXYCILLIN,Amoxicillin,Capsul,500mg,300190,11/2026,Codupha-lao,Laos,0.5909 g        (-3.1 ; 5.3),99.9%,90.0 - 120.0%,1
175,ICARS:24.09.03.202,TETRA,Tetracycline,Capsules,250mg,316101,10/3/2026,Codupha-lao,Laos,0.3991 g        (-2.3 ; 2.8),93.9%,90.0 - 110.0%,1
176,ICARS:24.09.03.203,AMPICILLIN,Ampicillin,Tablet,250mg,2444004,05/2027,KPN,Laos,0.3578g        (-2.2 ; 2.3),95.4%,90.0 - 110.0%,1
177,ICARS:24.09.03.204,KLORAMPHENICOL,Chloramphenicol,Capsul,250mg,313310,3/9/2026,Codupha-lao,Laos,0.3900 g        (-7.2; 6.4),93.3%,90.0 - 110.0%,1
178,ICARS:24.09.03.205,CEFIXIME ,Cefixime,Capsul,200mg,006-030524,3/5/2027,TV.PHRM,Vietnam,4115 g        (-4.1 ; 2.0),99.9%,90.0 - 110.0%,1
179,ICARS:24.09.03.206,Penicillin V,Penicillin,Tablet,500.000 iu,119223,19/8/2025,THE MEDICPHARMA,Thailand,0.5627 g        (-2.2 ;1.4),106.1%,90.0 - 120.0%,1
180,ICARS:24.09.03.207,Penicillin V Kali,Penicillin,Tablet,"1,000,000 IU",851123,021226,VIDIPHA,Vietnam,0.7298 g        (-1.1 ; 0.9),105.9%,90.0 - 120.0%,1
181,ICARS:24.09.03.208,Azithromycin,Azithromycin,Tablet,500mg,240501,04/2026,ZHANGFENG,China,0.7916g        (-4.2; 3.5),100.0%,90.0 - 110.0%,1
182,ICARS:24.09.03.209,PENICILLIN,Penicillin,Tablet,"500,000 IU",119223,19/8/2026,THE MEDICPHARMA,Thailand,0.5734 g        (-1.7 ; 2.0),104.6%,90.0 - 120.0%,1
183,ICARS:24.09.03.210,Azenat 500,Azithromycin,Tablet,500mg,02301,22/8/2026,TROUNG THO PHARMA,Vietnam,0.7135 g        (-1.9 ; 1.8),99.4%,90.0 - 110.0%,1
184,ICARS:24.09.03.211,Clamoxyl,Amoxicillin,Capsule,500mg,A59w,08/2026,Glaxo wellcome,France,0.5732g        (-1.1 ; 0.9),99.2%,90.0 - 120.0%,1
185,ICARS:24.09.03.212,CEFIXIME,Cefixime,Capsule,200mg,006-030524,3/5/2027,TV.PHRM,Vietnam,0.4113 g        (-2.3 ; 2.3),102.4%,90.0 - 110.0%,1
186,ICARS:24.09.03.213,METRONIDAZOLE,Metronidazole,Tablet,500mg,213705,18/7/2025,Codupha-lao,Laos,0.6014g        (-3.5 ; 2.6),93.6%,90.0 - 120.0%,1
187,ICARS:24.09.03.214,MEKOPEN,Penicillin,Tablet,"1,000,000 IU",23051AN,201225,Joint-stock,Vietnam,0.7240 g        (-1.0 ; 0.3),105.8%,90.0 - 120.0%,1
188,ICARS:24.09.03.215,Erythromycin,Erythromycin,Tablet,500mg,3540424,04/2027,KHAPHARCO PHARMA,Vietnam,0.8875 g        (-1.0 ; 0.8),104.0%,90.0 - 120.0%,1
189,ICARS:24.09.03.216,VEJAK-VK,Penicillin,Tablet,"400,000 IU",12205008,20250505,ZD North China,China,0.3415 g        (-0.5 ; 0.5),98.1%,90.0 - 120.0%,1
190,ICARS:24.09.03.217,DOXYCAP,Doxycycline,Capsule,100mg,CD09633,08/2026,HOVID,India,0.2489 g        (-3.7 ; 3.6),101.8%,90.0 - 120.0%,1
191,ICARS:24.09.03.218,DOXYCAP,Doxycycline,Capsule,100mg,CD09627,08/2026,HOVID,India,0.2466 g        (-4.3 ; 4.8),96.9%,90.0 - 120.0%,1
192,ICARS:24.09.03.219,DOXYCYCLINE,Doxycycline,Capsule,100mg,312206,09/2026,Codupha-lao,Laos,0.2538 g        (-4.9 ; 3.2),105.8%,90.0 - 120.0%,1
193,ICARS:24.09.03.220,AMOX-500,Amoxicillin,Capsule,500mg,706230601,06/2026,Alliance,Laos,0.5208 g       (-3.2 ; 2.8),97.4%,90.0 - 120.0%,1
194,ICARS:24.09.03.221,AMPI-500,Ampicillin,Capsule,500mg,709230601,08/2026,Alliance,Laos,0.4833g        (-1.9 ; 1.6),95.7%,90.0 - 110.0%,1
195,ICARS:24.09.03.222,Tetracycline,Tetracycline,Capsules,250mg,3DA0060,11/1/2026,Asian Union,Thailand,0.3346 g        (-1.8; 1.7),104.8%,90.0 - 110.0%,1
196,ICARS:24.09.03.223,KLORAMPHENICOL,Chloramphenicol,Capsule,250mg,313315,9/1/2026,Codupha-lao,Laos,0.3919 g        (-7.2 ; 6.4),98.8%,90.0 - 110.0%,1
197,ICARS:24.09.03.224,AMPIILLIN ,Ampicillin,Tablet,250mg,300601,12/2026,Codupha-lao,Laos,0.3559 g        (-1.6 ; 3.3),96.7%,90.0 - 110.0%,1
198,ICARS:24.09.03.225,ERYTHRO 250,Erythromycin,Tablet,250mg,312708,11.26,Codupha-lao,Laos,0.4945 g        (-2.9 ; 4.7),99.9%,90.0 - 120.0%,1
199,ICARS:24.09.03.226,BOMCIN 500,Tetracycline,Capsules,500mg,2225214,31/10/2025,New charoen,Thailand,0.6163 g        (-1.2 ; 0.6),102.6%,90.0 - 110.0%,1
200,ICARS:24.09.03.227,Cefixim200,Cefixime,Capsule,200mg,26130223,13/2/2025,VPC PHARIMEXCO,Vietnam,0.3236 g        (-3.4 ; 4.1),106.6%,90.0 - 110.0%,1
201,ICARS:24.09.03.228,DOXYCYCLINE,Doxycycline,Capsule,100mg,312203,23/5/2026,Codupha-lao,Laos,0.2905 g        (-2.3 ; 2.0),106.7%,90.0 - 120.0%,1
202,ICARS:24.09.03.229,GANO spec500,Tetracycline,Capsule,500mg,42216,9/11/20225,PICCO PHARMA,Thailand,0.5109 g       (-2.2 ; 2.5),101.6%,90.0 - 110.0%,1
203,ICARS:24.09.03.230,AZITHROMYCIN,Azithromycin,Tablet,500mg,230038006,08/2026,Factory No:3,Laos,0.7085 g        (-2.4 ; 3.2),99.5%,90.0 - 110.0%,1
204,ICARS:24.09.03.231,METROZOL 500,Metronidazole,Tablet,500mg,091123,11/2026,CBF,Laos,0.5512 g        (-2.2 ; 2.9,100.2%,93.0 - 107.0%,1
205,ICARS:24.09.03.232,MEKOPEN,Penicillin,Tablet,"1,000,000 IU",23012AN,240625,CTCP Mekophar,Vietnam,0.7316 g        (-0.5; 0.5),106.0%,90.0 - 120.0%,1
206,ICARS:24.09.03.233,VEJAR-VK,Penicillin,Tablet,"400,000 IU",2205006,4/5/2025,. North China ,China,0.2897 g        (-0.8 ; 1.9),98.2%,90.0 - 120.0%,1
207,ICARS:24.09.03.234,ERYTHRO-250,Erythromycin,Tablet,250mg,312706,10/2026,Codupha-lao,Laos,0.4986 g        (-4.6 ; 3.7),102.1%,90.0 - 120.0%,1
208,ICARS:24.09.03.235,HEROMYCIN,Tetracycline,Capsules,250mg,63100129,23.11.65,HERO,Thailand,0.2748 g        (-2.0 ; 2.6),104.3%,90.0 - 110.0%,1
209,ICARS:24.09.03.236,AMOXYCILLIN,Amoxicillin,Capsule,500mg,2446021,04/2027,KPN,Laos,0.5854 g        (-2.6 ; 3.7),98.3%,90.0 - 120.0%,1
210,ICARS:24.09.03.237,AMPICILLIN,Ampicillin,Capsule,500mg,2445001,05/2027,KPN,Laos,0.5624 g        (-1.2 ; 1.7),96.5%,90.0 - 110.0%,1
211,ICARS:24.09.03.238,KLORAMPHENICOL,Chloramphenicol,Capsule,250mg,313302,24/4/2026,Codupha-lao,Laos,0.3908 g        (-7.4 ; 4.9),97.8%,90.0 - 110.0%,1
212,ICARS:24.09.03.239,AMPICILLIN,Ampicillin,Tablet,250mg,2444001,05/2027,KPN,Laos,0.3559 g        (-1.4 ; 1.3),97.2%,90.0 - 110.0%,1
213,ICARS:24.09.03.240,LEOMYCIN,Tetracycline,Tablet,250mg,313601,15/1/2026,Codupha-lao,Laos,0.7544 g        (-0.8 ; 0.5),93.6%,90.0 - 110.0%,1
214,ICARS:24.09.03.241,GALNO KPN,Tetracycline,Capsules,500mg,2217001,5/2025,KPN,Laos,0.5774 g        (-0.6 ;0.4),104.3%,90.0 - 110.0%,1
215,ICARS:24.09.03.242,AZTHROMYCIN,Azithromycin,Tablae,500mg,240038002,03/2027,Factory No:3,Laos,0.7088 g        (-2.4 ; 3.1),98.7%,90.0 - 110.0%,1
216,ICARS:24.09.03.243,AZTHROMYCIN,Azithromycin,Tables,500mg,240038001,03/2027,Factory No:3,Laos,0.7078 g        (-2.4 ; 3.2),99.6%,90.0 - 110.0%,1
217,ICARS:24.09.03.244,METROZOL 500,Metronidazole,TABLET,500mg,030524,05/2027,CBF,Laos,0.5601 g        (-3.0 ; 2.3),101.8%,93.0 - 107.0%,1
218,ICARS:24.09.03.245,AMOXYCILLIN,Amoxicillin,Capsule,500mg,300195,12/2026,CODUPHA,Laos,0.5920 g        (-3.3 ; 5.0),99.9%,90.0 - 120.0%,1
219,ICARS:24.09.03.246,PENICILLIN V,Penicillin,Tablet,"400,000 IU ",301101,02/2025,Coduphar lao,Laos,0.3815 g        (-1.8 ; 1.2),99.7%,90.0 - 120.0%,1
220,ICARS:24.09.03.247,ERYTHROMYCIN,Erythromycin,Tablet,500mg,012024,01/03/2028,Armephaco,Vietnam,0.9263 g        (-1.2 ; 1.1),98.7%,90.0 - 120.0%,1
221,ICARS:24.09.03.248,ERYTHRO-250,Erythromycin,Tablet,250mg,312704,07/2026,Coduphar lao,Laos,0.5216 g        (-7.5 ; 6.5),102.8%,90.0 - 120.0%,1
222,ICARS:24.09.03.249,VEJAR-VK,Penicillin,Tablet,"400,000 IU",L2205008,5/5/2025,NCPC North China ,China,0.2929 g        (-1.9 ; 0.9),98.4%,90.0 - 120.0%,1
223,ICARS:24.09.03.250,LEOMYCIN,Tetracycline,Tablet,250mg,313601,15/1/2026,Codupha-lao,Laos,0.7566 g        (-0.7 ; 0.7),99.3%,90.0 - 110.0%,1
224,ICARS:24.09.03.251,Tetracycline,Tetracycline,Capsules,250mg,67159,24/4/2028,HK pharmacetical,Thailand,0.2665 g        (-2.0 ; 2.5),104.4%,90.0 - 110.0%,1
225,ICARS:24.09.03.252,KLORAMPHENICOL,Chloramphenicol,Capsules,250mg,313312,1/1/2026,Codupha-lao,Laos,0.3957 g        (-5.6 ; 4.4),100.8%,90.0 - 110.0%,1
226,ICARS:24.09.03.253,AMPICILLIN,Ampicillin,Tablet,250mg,2444012,07/2027,KPN,Laos,0.3612 g        (-2.7 ; 2.2),96.1%,90.0 - 110.0%,1
227,ICARS:24.09.03.254,DOXYCLINE,Doxycycline,Capsule,100mg,212204,10/2025,Codupha-lao,Laos,0.2443 g        (-0.6 ; 0.6),100.1%,90.0 - 120.0%,1
228,ICARS:24.09.03.255,Azithromycin,Azithromycin,Tablet,500mg,230901,08/2025,ZHANGFENG,China,0.8035 g        (-1.5 ; 1.2),99.2%,90.0 - 110.0%,1
229,ICARS:24.09.03.256,Azithromycin,Azithromycin,Tables,500mg,230038003,05/2026,Factory No:3,Laos,0.7087 g        (-2.5 ; 3.1),99.8%,90.0 - 110.0%,1
230,ICARS:24.09.03.257,AMPICILLIN,Ampicillin,Capsule,500mg,2345033,09/2026,KPN,Laos,0.5508 g        (-1.8 ; 1.7),97.3%,90.0 - 110.0%,1
231,ICARS:24.09.03.258,CEFIXIM,Cefixime,TABLET,200mg,90100623,10/6/2025,VPC PHARIMEXCO,Vietnam,319.7 g        (-2.7 ; 3.4),100.9%,90.0 - 110.0%,1
232,ICARS:24.09.03.259,METROZOL 500,Metronidazole,Tables,500mg,020324,03/2027,CBF,Laos,0.5772g        (-3.9 ; 2.0),104.6%,92.5 - 107.5%,1
233,ICARS:24.09.03.260,AZITHROMAX,Azithromycin,Tablet,250mg,081123,11/2026,CBF,Laos,0.3349 g        (-1.7 ; 1.7),98.8%,90.0 - 110.0%,1
234,ICARS:24.09.03.261,AMOX-500,Amoxicillin,Capsule,500mg,240401,04/2027,Alliance,Laos,0.4907g        (-3.3 ; 3.6),96.1%,90.0 - 120.0%,1
235,ICARS:24.09.03.262,METRONIDAZOLE,Metronidazole,Tablet,250mg,051023,04/2026,CBF,Laos,0.4551g        (-3.9 ; 2.6),97.6%,93.0 - 107.0%,1
236,ICARS:24.09.03.263,Penicillin V Kali,Penicillin,Tablet,"1,000,000 IU",1301223,30/12/2026,T.V ,Vietnam,0.7243 g        (-0.6 ; 1.3),102.0%,90.0 - 120.0%,1
237,ICARS:24.09.03.264,VEJAR-VK,Penicillin,Tablet,"400,000 IU",L2205007,4/5/2025, North China ,China,0.2901 g        (-1.6 ; 1.4),100.9%,90.0 - 120.0%,1
238,ICARS:24.09.03.265,AMPICILLIN,Ampicillin,TABLET,250mg,300601,6/12/2026,Codupha-lao,Laos,0.3695g        (-3.1 ; 3.3),98.2%,90.0 - 110.0%,1
239,ICARS:24.09.03.266,KLORAMPHENICOL,Chloramphenicol,Capsules,250mg,67111,21/3/2026,H K ,Thailand,0.3946 g        (-7.3 ; 6.5),98.5%,90.0 - 110.0%,1
240,ICARS:24.09.03.267,Tetracycline,Tetracycline,Capsules,250mg,313312,1/11/2026,Codupha-lao,Laos,2670 g        (-2.7; 2.5),98.1%,90.0 - 110.0%,1
241,ICARS:24.09.03.268,Tetracycline,Tetracycline,Capsules,250mg,67157,24/4/2028,H K,Thailand,0.2623 g        (-3.2 ; 3.7),95.0%,90.0 - 110.0%,1
242,ICARS:24.09.03.269,DOXYCYCLINE,Doxycycline,Capsul,100 mg,312206,09/2026,Codupha-lao,Laos,0.2747g        (-4.3; 3.7),107.3%,90.0 - 120.0%,1
243,ICARS:24.09.03.270,METROZOL 500,Metronidazole,Tablet,500mg,071023,10/2026,CBF,Laos,0.5662 g        (-2.1 ; 2.9),102.7%,93.0 - 107.0%,1
244,ICARS:24.09.03.271,ERY-250,Erythromycin,Tablet,250mg,212704,04/2025,Codupha-lao,Laos,0.4977 g        (-4.1 ; 4.2),104.5%,90.0 - 120.0%,1
245,ICARS:24.09.03.272,AMPICILLIN,Ampicillin,Capsul,500mg,300542,12/2026,Codupha-lao,Laos,0.5882 g        (-1.2 ; 0.9),95.0%,90.0 - 110.0%,1
246,ICARS:24.09.03.273,AMPI-500,Ampicillin,Capsul,500mg,709230601,06/2026,Alliance,Laos,0.5057 g        (-2.3 ; 1.3),97.1%,90.0 - 110.0%,1
247,ICARS:24.09.03.274,AMOXYCILLIN,Amoxicillin,Capsul,500mg,300196,12/2026,Codupha-lao,Laos,05914 g        (-3.7 ; 4.6),99.4%,90.0 - 120.0%,1
248,ICARS:24.09.03.275,ERY-500,Erythromycin,Tablet,500mg,010324,09/2026,CBF,Laos,0.6089 g        (-4.6 ; 3.6),93.8%,90.0 - 120.0%,1
249,ICARS:24.09.03.276,AMOXYCILLIN 500,Amoxicillin,Capsul,500mg,114769,06/05/2026,Medic pharma,Thailand,0.5904 g        (-2.0; 3.5),98.3%,90.0 - 120.0%,1
250,ICARS:24.09.03.277,KLORAMPHENICOL,Chloramphenicol,Capsul,250mg,313306,6/7/26,Codupha-lao,Laos,0.3825 g        (-6.1 ; 7.3),94.0%,90.0 - 110.0%,1
251,ICARS:24.09.03.278,METROZOL 500,Metronidazole,Tablet,500mg,030524,05/2027,CBF,Laos,0.5680 g        (-1.7 ; 2.3),100.5%,93.0 - 107.0%,1
252,ICARS:24.09.03.279,AZITHROMAX,Azithromycin,Tablet,250mg,010124,01/2027,CBF,Laos,0.3319 g        (-2.5; 3.4),99.7%,90.0 - 110.0%,1
253,ICARS:24.09.03.280,AMPI-500,Ampicillin,Capsul,500mg,709230601,06/2026,Alliance,Laos,5076 g        (-2.7 ; 2.5),97.3%,90.0 - 110.0%,1
254,ICARS:24.09.03.281,AMOXYCILLIN,Amoxicillin,Capsul,500mg,300205,12/2026,Codupha-lao,Laos,0.5958 g        (-3.4 ; 4.0),99.8%,90.0 - 120.0%,1
255,ICARS:24.09.03.282,AMOX-500,Amoxicillin,Capsul,500mg,706230601,06/2026,Alliance,Laos,0.5220 g        (-3.0 ; 2.9),97.3%,90.0 - 120.0%,1
256,ICARS:24.09.03.283,MOXY-500,Amoxicillin,Capsul,500mg,67156,19/04/2027,HK,Thailand,0.5655 g        (-4.2 ; 4.8),99.3%,90.0 - 120.0%,1
257,ICARS:24.09.03.284,ERYTHRO-250,Erythromycin,Tablet,250mg,312707,11/2026,Codupha-lao,Laos,0.4939 g        (-3.8 ; 5.3),99.5%,90.0 - 120.0%,1
258,ICARS:24.09.03.285,ERY-500,Erythromycin,Tablet,500mg,030423,10/2025,CBF,Laos,0.3819 g        (-5.2 ; 4.3),94.2%,90.0 - 120.0%,1
259,ICARS:24.09.03.286,AMPICILLIN,Ampicillin,Capsul,500mg,300543,12/2026,Codupha-lao,Laos,0.5908 g        (-1.8 ; 2.0),96.9%,90.0 - 110.0%,1
260,ICARS:24.09.03.287,AMPICILLIN,Amoxicillin,Tablet,250,300601,12/2026,Codupha-lao,Laos,0.3642 g        (-2.7 ; 2.4),94.6%,90.0 - 110.0%,1
261,ICARS:24.09.03.288, DI-ERY 500,Erythromycin,Tablet,500mg,006,09/2026,N0.3,Laos,0.6677 g        (-2.7 ; 1.8),102.4%,90.0 - 120.0%,1
262,ICARS:24.09.03.289,DOXYCYCLINE,Doxycycline,Capsul,100mg,312206,09/2026,Codupha-lao,Laos,0.2491 g        (-1.8 ; 3.1),105.8%,90.0 - 120.0%,1
263,ICARS:24.09.03.290,DOXYLCAP,Doxycycline,Capsul,100mg,209,28/4/2027,Bankok Lab,Thailand,0.2223g        (-1.5 ; 1.6),104.0%,90.0 - 120.0%,1
264,ICARS:24.09.03.291,METRONIDAZOL,Metronidazole,Tablet,250mg,040723,01/2026,CBF,Laos,0.4493 g        (-3.7; 4.4),104.0%,93.0 - 107.0%,1
